Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0.24 mg/ml  Code: tmp
Parent(s): /Users/ellen/Documents/Statherin/SAXS/Grenoble_sep-17/Analysis/Series3/Other/avrg_001.dat
  1.306880e+00   1.295870e+00   3.520040e-01
  1.311580e+00   1.154620e+00   3.509420e-01
  1.316280e+00   1.179990e+00   3.530610e-01
  1.320980e+00   1.284760e+00   3.530510e-01
  1.325670e+00   1.241520e+00   3.500270e-01
  1.330370e+00   1.397480e+00   3.449850e-01
  1.335070e+00   1.367720e+00   3.502230e-01
  1.339770e+00   8.452790e-01   3.481110e-01
  1.344470e+00   1.438150e+00   3.503050e-01
  1.349160e+00   1.104500e+00   3.436250e-01
  1.353860e+00   6.619050e-01   3.426780e-01
  1.358560e+00   1.231380e+00   3.453050e-01
  1.363260e+00   8.195890e-01   3.455220e-01
  1.367950e+00   1.632210e+00   3.430450e-01
  1.372650e+00   1.201990e+00   3.419090e-01
  1.377350e+00   9.950960e-01   3.418560e-01
  1.382050e+00   1.132890e+00   3.444900e-01
  1.386740e+00   1.899960e+00   3.422900e-01
  1.391440e+00   8.800880e-01   3.387130e-01
  1.396140e+00   8.910840e-01   3.387460e-01
  1.400840e+00   1.068270e+00   3.415630e-01
  1.405540e+00   8.518010e-01   3.386460e-01
  1.410230e+00   1.291120e+00   3.371590e-01
  1.414930e+00   1.121000e+00   3.354850e-01
  1.419630e+00   1.152670e+00   3.403050e-01
  1.424330e+00   1.264050e+00   3.387370e-01
  1.429020e+00   6.845190e-01   3.330550e-01
  1.433720e+00   1.577390e+00   3.316510e-01
  1.438420e+00   1.172410e+00   3.385260e-01
  1.443120e+00   6.229460e-01   3.369930e-01
  1.447820e+00   1.124930e+00   3.304680e-01
  1.452510e+00   1.178530e+00   3.312240e-01
  1.457210e+00   1.410020e+00   3.330860e-01
  1.461910e+00   1.522990e+00   3.360450e-01
  1.466610e+00   1.019810e+00   3.307610e-01
  1.471300e+00   1.347940e+00   3.292430e-01
  1.476000e+00   8.993540e-01   3.327050e-01
  1.480700e+00   1.544980e+00   3.317710e-01
  1.485400e+00   1.044540e+00   3.295750e-01
  1.490090e+00   1.313300e+00   3.286780e-01
  1.494790e+00   8.878500e-01   3.257110e-01
  1.499490e+00   1.000650e+00   3.342130e-01
  1.504190e+00   1.112450e+00   3.316160e-01
  1.508890e+00   9.868620e-01   3.384760e-01
  1.513580e+00   1.314080e+00   3.476850e-01
  1.518280e+00   1.435380e+00   3.562630e-01
  1.522980e+00   1.242670e+00   3.576410e-01
  1.527680e+00   1.483260e+00   3.569420e-01
  1.532370e+00   1.009050e+00   3.557600e-01
  1.537070e+00   6.997370e-01   3.513630e-01
  1.541770e+00   1.342130e+00   3.451420e-01
  1.546470e+00   8.438200e-01   3.362180e-01
  1.551160e+00   1.174940e+00   3.405940e-01
  1.555860e+00   9.425890e-01   3.354990e-01
  1.560560e+00   9.072550e-01   3.315550e-01
  1.565260e+00   8.932780e-01   3.237270e-01
  1.569960e+00   8.696430e-01   3.240020e-01
  1.574650e+00   1.084840e+00   3.254470e-01
  1.579350e+00   1.029910e+00   3.240800e-01
  1.584050e+00   1.182740e+00   3.222260e-01
  1.588750e+00   8.755330e-01   3.190320e-01
  1.593440e+00   1.005620e+00   3.260880e-01
  1.598140e+00   4.172290e-01   3.260010e-01
  1.602840e+00   1.022130e+00   3.236450e-01
  1.607540e+00   5.324220e-01   3.202770e-01
  1.612240e+00   9.004540e-01   3.233190e-01
  1.616930e+00   6.583060e-02   3.215210e-01
  1.621630e+00   8.128850e-01   3.220460e-01
  1.626330e+00   7.355940e-01   3.169460e-01
  1.631030e+00   5.703680e-01   3.214280e-01
  1.635720e+00   9.115640e-01   3.185530e-01
  1.640420e+00   7.057010e-01   3.205280e-01
  1.645120e+00   8.110400e-01   3.161820e-01
  1.649820e+00   6.210580e-01   3.195390e-01
  1.654510e+00   7.187150e-01   3.175540e-01
  1.659210e+00   8.646070e-01   3.182470e-01
  1.663910e+00   1.583560e+00   3.138540e-01
  1.668610e+00   5.423600e-01   3.178380e-01
  1.673310e+00   1.332620e+00   3.166320e-01
  1.678000e+00   7.262220e-01   3.147890e-01
  1.682700e+00   9.137050e-01   3.156920e-01
  1.687400e+00   8.737670e-01   3.136610e-01
  1.692100e+00   8.209710e-01   3.121030e-01
  1.696790e+00   1.865650e-01   3.163820e-01
  1.701490e+00   1.187680e+00   3.150520e-01
  1.706190e+00   9.985730e-01   3.093520e-01
  1.710890e+00   8.193010e-01   3.127780e-01
  1.715580e+00   3.796760e-01   3.141860e-01
  1.720280e+00   2.827880e-01   3.130080e-01
  1.724980e+00   5.801230e-01   3.074140e-01
  1.729680e+00   5.099550e-01   3.093370e-01
  1.734380e+00   9.346240e-01   3.098850e-01
  1.739070e+00   1.287610e+00   3.141000e-01
  1.743770e+00   9.253330e-01   3.058190e-01
  1.748470e+00   6.348950e-01   3.100420e-01
  1.753170e+00   1.131970e+00   3.086530e-01
  1.757860e+00   8.547110e-01   3.090930e-01
  1.762560e+00   1.227830e+00   3.078250e-01
  1.767260e+00   5.879630e-01   3.087070e-01
  1.771960e+00   6.192820e-01   3.042960e-01
  1.776660e+00   6.570020e-01   3.094390e-01
  1.781350e+00   1.256180e+00   3.080030e-01
  1.786050e+00   9.183650e-01   3.012410e-01
  1.790750e+00   3.687980e-02   3.063540e-01
  1.795450e+00   4.888370e-01   3.071380e-01
  1.800140e+00   2.793360e-01   3.059660e-01
  1.804840e+00   8.953940e-01   3.008450e-01
  1.809540e+00   9.694480e-01   3.044550e-01
  1.814240e+00   7.377610e-01   3.040170e-01
  1.818930e+00   1.545450e-01   3.068250e-01
  1.823630e+00   5.247190e-01   2.978640e-01
  1.828330e+00   8.055510e-01   3.036420e-01
  1.833030e+00   6.343900e-01   3.023700e-01
  1.837730e+00   7.275090e-01   3.049200e-01
  1.842420e+00   9.280580e-01   2.970150e-01
  1.847120e+00   1.038830e+00   2.996040e-01
  1.851820e+00   4.238190e-01   3.030480e-01
  1.856520e+00   8.348160e-01   3.032470e-01
  1.861210e+00   6.947710e-01   2.970220e-01
  1.865910e+00   4.616700e-01   2.974520e-01
  1.870610e+00   7.896400e-01   3.007760e-01
  1.875310e+00   6.418010e-01   3.018210e-01
  1.880000e+00   6.742220e-01   3.006620e-01
  1.884700e+00   4.609520e-01   2.920620e-01
  1.889400e+00   9.677880e-01   2.998210e-01
  1.894100e+00   6.332270e-01   3.001060e-01
  1.898800e+00   7.459890e-01   2.972780e-01
  1.903490e+00   5.610930e-01   2.917890e-01
  1.908190e+00   8.041350e-01   2.980420e-01
  1.912890e+00   4.219390e-01   2.972100e-01
  1.917590e+00   4.317230e-01   2.972500e-01
  1.922280e+00   8.026400e-01   2.911600e-01
  1.926980e+00   3.130680e-01   2.964230e-01
  1.931680e+00   8.824910e-01   2.964510e-01
  1.936380e+00   7.155070e-01   2.936990e-01
  1.941080e+00   7.619500e-01   2.894830e-01
  1.945770e+00   7.425610e-01   2.894900e-01
  1.950470e+00   5.809960e-01   2.959330e-01
  1.955170e+00   7.845730e-01   2.903650e-01
  1.959870e+00   8.474220e-01   2.894290e-01
  1.964560e+00   5.443530e-01   2.888980e-01
  1.969260e+00   7.094230e-01   2.931370e-01
  1.973960e+00   6.389870e-01   2.918050e-01
  1.978660e+00   2.793440e-01   2.915670e-01
  1.983350e+00   6.364330e-01   2.862210e-01
  1.988050e+00   5.251240e-01   2.926620e-01
  1.992750e+00   8.500530e-01   2.914360e-01
  1.997450e+00   2.167740e-01   2.917800e-01
  2.002150e+00   1.038380e+00   2.899430e-01
  2.006840e+00   5.245450e-01   3.033240e-01
  2.011540e+00   8.491260e-02   3.059490e-01
  2.016240e+00   8.524290e-01   3.100530e-01
  2.020940e+00   5.902440e-01   3.116590e-01
  2.025630e+00   3.940830e-01   3.174740e-01
  2.030330e+00   2.117500e-01   3.193140e-01
  2.035030e+00   9.993980e-01   3.194700e-01
  2.039730e+00   4.465560e-01   3.187750e-01
  2.044420e+00   4.580760e-01   3.216390e-01
  2.049120e+00   1.574740e-01   3.211350e-01
  2.053820e+00   1.738550e-01   3.230000e-01
  2.058520e+00   6.309960e-01   3.230200e-01
  2.063220e+00   2.347820e-01   3.253970e-01
  2.067910e+00   9.305160e-01   3.176550e-01
  2.072610e+00   8.135760e-01   3.138960e-01
  2.077310e+00   5.597890e-01   3.046790e-01
  2.082010e+00   5.048340e-01   2.999950e-01
  2.086700e+00   2.992130e-01   2.977560e-01
  2.091400e+00   5.719490e-01   2.995500e-01
  2.096100e+00   3.316420e-02   2.946500e-01
  2.100800e+00   6.660220e-01   2.919680e-01
  2.105490e+00   6.178160e-01   2.917150e-01
  2.110190e+00   5.806900e-01   2.930600e-01
  2.114890e+00   5.163900e-01   2.947890e-01
  2.119590e+00   3.889680e-01   2.878920e-01
  2.124290e+00   5.015290e-01   2.891620e-01
  2.128980e+00   4.716260e-01   2.914090e-01
  2.133680e+00   1.473860e-01   2.937640e-01
  2.138380e+00   5.575960e-01   2.869590e-01
  2.143080e+00   6.330520e-01   2.863950e-01
  2.147780e+00   6.956990e-01   2.876040e-01
  2.152470e+00   2.387320e-01   2.908530e-01
  2.157170e+00  -9.656450e-02   2.889860e-01
  2.161870e+00   1.078000e+00   2.802350e-01
  2.166570e+00   2.291700e-01   2.865130e-01
  2.171260e+00  -2.588280e-02   2.875310e-01
  2.175960e+00   5.560130e-01   2.891420e-01
  2.180660e+00   6.208300e-01   2.800200e-01
  2.185360e+00   4.687060e-01   2.825720e-01
  2.190050e+00   1.248160e-01   2.857410e-01
  2.194750e+00   2.520370e-01   2.883920e-01
  2.199450e+00   8.215990e-01   2.790120e-01
  2.204150e+00   2.012670e-01   2.818430e-01
  2.208850e+00   5.777880e-01   2.819660e-01
  2.213540e+00   3.055250e-01   2.878840e-01
  2.218240e+00   4.779720e-01   2.778490e-01
  2.222940e+00   5.473770e-01   2.803970e-01
  2.227640e+00   3.342570e-01   2.808710e-01
  2.232330e+00   5.931300e-01   2.859140e-01
  2.237030e+00   2.881730e-01   2.775970e-01
  2.241730e+00   1.635310e-01   2.775200e-01
  2.246430e+00   5.662230e-01   2.799950e-01
  2.251120e+00   3.854640e-01   2.830580e-01
  2.255820e+00   4.532340e-02   2.813330e-01
  2.260520e+00   6.073680e-01   2.729970e-01
  2.265220e+00   4.664770e-01   2.792060e-01
  2.269920e+00   2.068180e-01   2.808730e-01
  2.274610e+00  -2.825960e-01   2.790920e-01
  2.279310e+00   2.827620e-01   2.722910e-01
  2.284010e+00   5.934790e-01   2.777440e-01
  2.288710e+00   6.870720e-01   2.779890e-01
  2.293400e+00   4.478060e-01   2.783090e-01
  2.298100e+00   5.607420e-01   2.724160e-01
  2.302800e+00   3.308220e-01   2.752750e-01
  2.307500e+00   2.185230e-01   2.784790e-01
  2.312200e+00   6.631570e-01   2.762860e-01
  2.316890e+00   2.828310e-01   2.716100e-01
